item	layer	value
GC_00003339	SA_INS1T1336A92_Peru_1992	1
GC_00003339	SA_INS1T1345A92_Peru_1992	1
GC_00003339	SA_INS1T1357A92_Peru_1992	1
GC_00003339	SA_INS1T144A93_Peru_1993	1
GC_00003339	SA_INS1T156A91_Peru_2015	1
GC_00003339	SA_INS1T1600A92_Peru_1992	1
GC_00003339	SA_INS1T1618A92_Peru_1992	1
GC_00003339	SA_INS1T1688A98_Peru_1998	1
GC_00003339	SA_INS1T171A95_Peru_1995	1
GC_00003339	SA_INS1T174A91_Peru_1991	1
GC_00003339	SA_INS1T1758A98_Peru_1998	1
GC_00003339	SA_INS1T177A91_Peru_1991	1
GC_00003339	SA_INS1T180A91_Peru_1991	1
GC_00003339	SA_INS1T1824A98_Peru_1998	1
GC_00003339	SA_INS1T183A91_Peru_1991	1
GC_00003339	SA_INS1T188A91_Peru_1991	1
GC_00003339	SA_INS1T188A93_Peru_1992	1
GC_00003339	SA_INS1T2050A98_Peru_1998	1
GC_00003339	SA_INS1T230A95_Peru_1995	1
GC_00003339	SA_INS1T236A91_Peru_1991	1
GC_00003339	SA_INS1T239A91_Peru_1991	1
GC_00003339	SA_INS1T2444A92_Peru_1992	1
GC_00003339	SA_INS1T253A91_Peru_1991	1
GC_00003339	SA_INS1T258A91_Peru_1991	1
GC_00003339	SA_INS1T2658A92_Peru_1992	1
GC_00003339	SA_INS1T346A95_Peru_1995	1
GC_00003339	SA_INS1T357A91_Peru_1991	1
GC_00003339	SA_INS1T372A91_Peru_1991	1
GC_00003339	SA_INS1T3852A92_Peru_1992	1
GC_00003339	SA_INS1T3867A92_Peru_1992	1
GC_00003339	SA_INS1T3887A92_Peru_1992	1
GC_00003339	SA_INS1T419A91_Peru_1991	1
GC_00003339	SA_INS1T457A10_Argentina_2010	1
GC_00003339	SA_INS1T4598A92_Peru_1992	1
GC_00003339	SA_INS1T485A93_Peru_1993	1
GC_00003339	SA_INS1T6014A92_Peru_1992	1
GC_00003339	SA_INS1T6189A92_Peru_1992	1
GC_00003339	SA_INS1T6195A92_Peru_1992	1
GC_00003339	SA_INS1T6201A92_Peru_1992	1
GC_00003339	SA_INS1T6208A92_Peru_1992	1
GC_00003339	SA_INS1T6211A92_Peru_1992	1
GC_00003339	SA_INS1T663A93_Peru_1993	1
GC_00003339	SA_INS1T6910A92_Peru_1992	1
GC_00003339	SA_INS1T777A93_Peru_1993	1
GC_00003339	SA_INS1T8232A92_Peru_1992	1
GC_00003339	SA_INS1T8238A92_Peru_1992	1
GC_00003339	SA_INS1T8240A92_Peru_1992	1
GC_00003339	SA_INS1T8242A92_Peru_1992	1
GC_00003339	SA_INS1T8244A92_Peru_1992	1
GC_00003339	SA_INS1T8276A92_Peru_1992	1
GC_00003339	SA_INS1T8643A92_Peru_1992	1
GC_00003339	SA_INS1T934A93_Peru_1993	1
GC_00003339	SA_INS2T0025A96_Peru_1996	1
GC_00003339	SA_INS2T008A03_Peru_2002	1
GC_00003339	SA_INS2T018A99_Peru_1998	1
GC_00003339	SA_INS2T0883A93_Peru_1993	1
GC_00003339	SA_INS2T090A99_Peru_1999	1
GC_00003339	SA_INS2T1028A92_Peru_1992	1
GC_00003339	SA_INS2T106A95_Peru_1995	1
GC_00003339	SA_INS2T121A95_Peru_1995	1
GC_00003339	SA_INS2T1300A91_Peru_1991	1
GC_00003339	SA_INS2T177A99_Peru_1999	1
GC_00003339	SA_INS2T2224A92_Peru_1992	1
GC_00003339	SA_INS2T222A91_Peru_1991	1
GC_00003339	SA_INS2T2230A92_Peru_1992	1
GC_00003339	SA_INS2T2231A92_Peru_1992	1
GC_00003339	SA_INS2T2245A92_Peru_1992	1
GC_00003339	SA_INS2T2246A92_Peru_1992	0
GC_00003339	SA_INS2T2247A92_Peru_1992	1
GC_00003339	SA_INS2T229A94_Peru_1994	1
GC_00003339	SA_INS2T232A94_Peru_1994	1
GC_00003339	SA_INS2T2432A98_Peru_1998	1
GC_00003339	SA_INS2T2435A98_Peru_1998	1
GC_00003339	SA_INS2T258A99_Peru_1999	1
GC_00003339	SA_INS2T271A94_Peru_1994	1
